Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 08:46",18589.0,18596.5,18588.5,18593.25,1055,1456,707.0,1010.0,456.0,498.0
"2024/09/09, 08:47",18593.75,18604.0,18593.75,18601.25,1412,1784,914.0,1226.0,429.0,573.0
"2024/09/09, 08:48",18601.25,18613.75,18600.0,18603.75,1943,2380,1377.0,1801.0,441.0,504.0
"2024/09/09, 08:49",18603.75,18613.25,18600.0,18612.0,1041,1255,671.0,849.0,466.0,530.0
"2024/09/09, 08:50",18611.75,18619.5,18607.25,18618.0,1544,2165,1033.0,1489.0,471.0,606.0
"2024/09/09, 08:51",18618.25,18619.75,18610.75,18614.25,1522,1383,1039.0,955.0,526.0,543.0
"2024/09/09, 08:52",18614.0,18614.75,18600.0,18608.5,2375,1760,1727.0,1181.0,473.0,467.0
"2024/09/09, 08:53",18608.5,18612.5,18607.5,18611.75,813,809,541.0,553.0,465.0,513.0
"2024/09/09, 08:54",18611.75,18625.25,18611.25,18621.5,1450,2412,979.0,1769.0,537.0,556.0
"2024/09/09, 08:55",18621.5,18628.0,18620.75,18625.75,1735,1653,1296.0,1182.0,528.0,659.0
"2024/09/09, 08:56",18625.75,18639.25,18625.25,18637.0,1618,2209,1139.0,1740.0,507.0,527.0
"2024/09/09, 08:57",18637.0,18640.75,18632.0,18638.0,1460,1487,967.0,1058.0,517.0,530.0
"2024/09/09, 08:58",18638.0,18639.75,18633.5,18635.25,1186,964,753.0,641.0,518.0,547.0
"2024/09/09, 08:59",18635.25,18644.75,18634.5,18644.0,1084,1486,787.0,1062.0,491.0,597.0
"2024/09/09, 09:00",18644.25,18645.5,18631.75,18637.25,2619,2047,1873.0,1398.0,506.0,433.0
"2024/09/09, 09:01",18637.25,18642.25,18634.75,18639.0,873,856,575.0,576.0,464.0,481.0
"2024/09/09, 09:02",18639.0,18649.75,18637.5,18646.25,1533,2090,1050.0,1550.0,483.0,567.0
"2024/09/09, 09:03",18646.25,18660.75,18645.75,18652.0,2619,2791,1795.0,2090.0,464.0,487.0
"2024/09/09, 09:04",18652.0,18665.5,18651.5,18656.75,2067,2346,1408.0,1763.0,430.0,550.0
"2024/09/09, 09:05",18656.75,18659.75,18647.75,18649.0,1649,998,1210.0,695.0,492.0,455.0
"2024/09/09, 09:06",18649.0,18650.0,18637.75,18641.5,2497,1469,1801.0,977.0,468.0,503.0
"2024/09/09, 09:07",18641.0,18649.0,18640.5,18645.5,1170,1137,770.0,772.0,496.0,504.0
"2024/09/09, 09:08",18646.0,18648.0,18636.0,18645.0,1721,1596,1271.0,1083.0,509.0,449.0
"2024/09/09, 09:09",18644.75,18653.75,18642.75,18652.25,1220,1623,907.0,1156.0,515.0,501.0
"2024/09/09, 09:10",18652.5,18662.75,18650.5,18658.0,1446,1715,990.0,1201.0,463.0,538.0
"2024/09/09, 09:11",18658.0,18660.5,18651.75,18652.25,1051,786,797.0,544.0,502.0,482.0
"2024/09/09, 09:12",18652.0,18655.5,18647.5,18651.75,1330,979,958.0,656.0,485.0,469.0
"2024/09/09, 09:13",18651.75,18652.75,18642.0,18650.0,1327,1165,885.0,741.0,472.0,479.0
"2024/09/09, 09:14",18650.0,18655.25,18644.0,18644.5,785,860,528.0,630.0,463.0,452.0
"2024/09/09, 09:15",18644.5,18650.75,18641.5,18649.25,1084,985,757.0,708.0,454.0,489.0
"2024/09/09, 09:16",18649.0,18652.75,18646.0,18649.0,660,727,431.0,487.0,480.0,470.0
"2024/09/09, 09:17",18649.0,18659.0,18648.25,18658.5,719,1291,480.0,898.0,479.0,586.0
"2024/09/09, 09:18",18658.5,18662.0,18655.25,18659.25,821,964,575.0,691.0,423.0,558.0
"2024/09/09, 09:19",18659.25,18663.5,18657.25,18661.25,637,1022,436.0,721.0,467.0,616.0
